cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2016_2017,001437,Catholic University of America (the),Private,Political Science and Government.,Bachelor's Degree,111,26000,23887
2016_2017,001437,Catholic University of America (the),Private,Political Science and Government.,Master's Degree,11,,34036
2016_2017,001437,Catholic University of America (the),Private,Political Science and Government.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Psychology, General.",Bachelor's Degree,103,26500,24118
2015_2016,001437,Catholic University of America (the),Private,"Psychology, General.",Master's Degree,20,41000,55654
2015_2016,001437,Catholic University of America (the),Private,"Psychology, General.",Doctoral Degree,,,56804
2016_2017,001437,Catholic University of America (the),Private,"Psychology, General.",Bachelor's Degree,96,26000,23459
2016_2017,001437,Catholic University of America (the),Private,"Psychology, General.",Master's Degree,15,,55901
2016_2017,001437,Catholic University of America (the),Private,"Psychology, General.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Public Health.,Associate's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Public Health.,Associate's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,94,27000,24308
2015_2016,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,22,33000,42657
2015_2016,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Graduate/Professional Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,86,27000,24210
2016_2017,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,49,56296,54504
2016_2017,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Doctoral Degree,10,,41213
2016_2017,001437,Catholic University of America (the),Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Graduate/Professional Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,Religion/Religious Studies.,Bachelor's Degree,22,24125,21229
2016_2017,001437,Catholic University of America (the),Private,Religion/Religious Studies.,Bachelor's Degree,23,25000,20614
2015_2016,001437,Catholic University of America (the),Private,Religious Education.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Religious Education.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Religious Education.,First Professional Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Religious Education.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Religious Education.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Religious Education.,First Professional Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Research and Experimental Psychology.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Research and Experimental Psychology.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Rhetoric and Composition/Writing Studies.,Post-baccalaureate Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,Rhetoric and Composition/Writing Studies.,Post-baccalaureate Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,"Romance Languages, Literatures, and Linguistics.",Bachelor's Degree,,,24308
2015_2016,001437,Catholic University of America (the),Private,"Romance Languages, Literatures, and Linguistics.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Romance Languages, Literatures, and Linguistics.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Romance Languages, Literatures, and Linguistics.",Bachelor's Degree,,27000,24144
2016_2017,001437,Catholic University of America (the),Private,"Romance Languages, Literatures, and Linguistics.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Romance Languages, Literatures, and Linguistics.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Social Sciences, General.",Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Social Sciences, General.",Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Social Work.,Bachelor's Degree,21,26000,23023
